context,limit,block
夕飯を,short,practice
車が,short,practice
子犬を,short,practice
信号機が,short,practice
バイトが,short,practice
ホテルを,short,practice
カーテンを,short,practice
アイドルが,short,practice
明かりが,long,practice
リンゴを,long,practice
教授が,long,practice
芸人を,long,practice
机を,long,practice
タヌキが,long,practice
イヤホンを,long,practice
忍者が,long,practice
